org,repo,number,date,is_merged,state,user
jupyter,jupyter.github.io,154,2016-11-08 01:30:21,True,closed,Carreau
jupyter,jupyter.github.io,155,2016-11-09 00:59:51,True,closed,cameronoelsen
jupyter,jupyter.github.io,157,2016-11-10 23:13:44,True,closed,SylvainCorlay
jupyter,jupyter.github.io,158,2016-11-15 19:05:22,True,closed,Carreau
jupyter,jupyter.github.io,159,2016-11-15 19:58:02,True,closed,takluyver
jupyter,jupyter.github.io,160,2016-11-15 22:21:17,True,closed,gnestor
jupyter,jupyter.github.io,161,2016-11-16 00:19:04,True,closed,cameronoelsen
jupyter,jupyter.github.io,162,2016-11-22 17:45:10,True,closed,Carreau
jupyter,jupyter.github.io,166,2016-12-01 12:05:01,True,closed,nicolabortignon
jupyter,jupyter.github.io,168,2016-12-02 20:34:18,True,closed,charnpreetsingh
jupyter,jupyter.github.io,169,2016-12-02 20:38:27,True,closed,charnpreetsingh
jupyter,jupyter.github.io,170,2016-12-03 22:36:13,True,closed,Jmuccigr
jupyter,jupyter.github.io,171,2016-12-07 21:04:21,True,closed,charnpreetsingh
jupyter,jupyter.github.io,172,2016-12-07 21:47:28,True,closed,cameronoelsen
jupyter,jupyter.github.io,173,2016-12-07 23:33:53,True,closed,cameronoelsen
jupyter,jupyter.github.io,176,2017-01-03 04:13:48,True,closed,cameronoelsen
jupyter,jupyter.github.io,177,2017-01-04 21:28:01,False,open,cameronoelsen
jupyter,jupyter.github.io,178,2017-01-13 20:13:55,True,closed,Carreau
jupyter,jupyter.github.io,180,2017-01-17 18:13:48,True,closed,rgbkrk
jupyter,jupyter.github.io,181,2017-01-23 03:03:11,True,closed,jinmehta13
jupyter,jupyter.github.io,182,2017-01-26 17:24:37,True,closed,cameronoelsen
jupyter,jupyter.github.io,183,2017-01-31 00:04:37,True,closed,ivanov
jupyter,jupyter.github.io,184,2017-02-03 19:30:16,True,closed,cameronoelsen
jupyter,jupyter.github.io,185,2017-02-06 21:50:51,True,closed,matt-bowers
jupyter,jupyter.github.io,188,2017-02-13 16:21:29,True,closed,charlesnicholson
jupyter,jupyter.github.io,191,2017-02-15 01:10:26,True,closed,charnpreetsingh
jupyter,jupyter.github.io,192,2017-02-16 18:51:39,True,closed,cameronoelsen
jupyter,jupyter.github.io,193,2017-02-16 19:43:21,True,closed,cameronoelsen
jupyter,jupyter.github.io,194,2017-02-24 20:49:52,True,closed,cameronoelsen
jupyter,jupyter.github.io,195,2017-02-25 05:58:20,True,closed,ThomasMChen
jupyter,jupyter.github.io,196,2017-02-25 06:07:28,True,closed,patnir
jupyter,jupyter.github.io,197,2017-03-02 06:51:47,True,closed,ivanov
jupyter,jupyter.github.io,198,2017-03-04 22:56:57,True,closed,rgbkrk
jupyter,jupyter.github.io,199,2017-03-17 22:22:30,True,closed,cameronoelsen
jupyter,jupyter.github.io,200,2017-03-29 12:33:57,True,closed,SylvainCorlay
jupyter,jupyter.github.io,201,2017-03-29 17:55:03,False,open,maartenbreddels
jupyter,jupyter_client,1,2015-04-14 16:39:42,True,closed,jasongrout
jupyter,jupyter_client,3,2015-04-15 18:02:42,True,closed,jasongrout
jupyter,jupyter_client,4,2015-04-15 18:06:48,True,closed,minrk
jupyter,jupyter_client,5,2015-04-17 18:28:04,True,closed,minrk
jupyter,jupyter_client,8,2015-04-29 21:43:25,True,closed,takluyver
jupyter,jupyter_client,9,2015-04-30 00:30:45,True,closed,minrk
jupyter,jupyter_client,10,2015-04-30 20:44:01,True,closed,minrk
jupyter,jupyter_client,12,2015-05-01 22:47:30,True,closed,Carreau
jupyter,jupyter_client,13,2015-05-01 23:06:02,True,closed,Carreau
jupyter,jupyter_client,14,2015-05-08 19:25:33,True,closed,minrk
jupyter,jupyter_client,15,2015-05-11 00:02:24,True,closed,Carreau
jupyter,jupyter_client,16,2015-05-11 22:58:51,False,closed,takluyver
