org,repo,number,date,state,user
jupyter,jupyter.github.io,135,2016-09-30 20:39:50,closed,SylvainCorlay
jupyter,jupyter.github.io,136,2016-10-04 12:31:42,closed,minrk
jupyter,jupyter.github.io,137,2016-10-04 12:42:44,closed,minrk
jupyter,jupyter.github.io,138,2016-10-06 13:00:45,closed,SylvainCorlay
jupyter,jupyter.github.io,139,2016-10-06 15:20:51,closed,SylvainCorlay
jupyter,jupyter.github.io,140,2016-10-06 20:30:17,open,charnpreetsingh
jupyter,jupyter.github.io,141,2016-10-09 20:30:02,closed,adamchainz
jupyter,jupyter.github.io,142,2016-10-10 14:16:17,closed,SylvainCorlay
jupyter,jupyter.github.io,143,2016-10-11 12:04:01,closed,SylvainCorlay
jupyter,jupyter.github.io,144,2016-10-13 04:44:51,closed,go-bears
jupyter,jupyter.github.io,145,2016-10-13 05:23:55,closed,go-bears
jupyter,jupyter.github.io,146,2016-10-13 09:45:02,closed,SylvainCorlay
jupyter,jupyter.github.io,147,2016-10-13 09:48:52,closed,SylvainCorlay
jupyter,jupyter.github.io,148,2016-10-25 04:31:08,open,gnestor
jupyter,jupyter.github.io,149,2016-10-26 21:23:47,closed,cameronoelsen
jupyter,jupyter.github.io,150,2016-11-01 03:54:19,closed,willingc
jupyter,jupyter.github.io,151,2016-11-01 06:07:08,closed,willingc
jupyter,jupyter.github.io,152,2016-11-02 20:41:04,closed,cameronoelsen
jupyter,jupyter.github.io,153,2016-11-05 21:16:17,closed,SylvainCorlay
jupyter,jupyter.github.io,154,2016-11-08 01:30:21,closed,Carreau
jupyter,jupyter.github.io,155,2016-11-09 00:59:51,closed,cameronoelsen
jupyter,jupyter.github.io,156,2016-11-10 20:29:34,open,SylvainCorlay
jupyter,jupyter.github.io,157,2016-11-10 23:13:44,closed,SylvainCorlay
jupyter,jupyter.github.io,158,2016-11-15 19:05:22,closed,Carreau
jupyter,jupyter.github.io,159,2016-11-15 19:58:02,closed,takluyver
jupyter,jupyter.github.io,160,2016-11-15 22:21:17,closed,gnestor
jupyter,jupyter.github.io,161,2016-11-16 00:19:04,closed,cameronoelsen
jupyter,jupyter.github.io,162,2016-11-22 17:45:10,closed,Carreau
jupyter,jupyter.github.io,163,2016-11-27 21:58:19,open,quartermaine
jupyter,jupyter.github.io,164,2016-11-28 18:28:02,closed,Carreau
jupyter,jupyter.github.io,165,2016-12-01 10:01:00,closed,nicolabortignon
jupyter,jupyter.github.io,166,2016-12-01 12:05:01,closed,nicolabortignon
